id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145
1,NO,NO,dqOiM6yBYgnVSezBRiQXs9bvOFnRqrtIoXRIElxD7g8=,GNjrXXA3SxbgD0dTRblAPO9jFJ7AIaZnu/f48g5XSUk=,0.576561163387511,0.0731394354148845,0.481394354148845,0.115697177074423,0.472474289171204,YES,NO,NO,NO,NO,42,0.39606501283148,3,6,0.991017964071856,0,0.82,3306,4676,YES,NO,YES,0,0.405047048759624,0.464609800362976,NO,NO,NO,NO,mimucPmJSF6NI6KM6cPIaaVxWaQyIQzSgtwTTb9bKlc=,s7mTY62CCkWUFc36AW2TlYAy5CIcniD2Vz+lHzyYCLg=,0.576561163387511,0.0731394354148845,0.481394354148845,0.115697177074423,0.458560193587417,YES,NO,YES,NO,NO,9,0.368263473053892,2,10,0.992728828058169,0,0.94,3306,4676,YES,NO,YES,1,0.375534644995723,0.451300665456745,+2TNtXRI6r9owdGCS80Ia9VVv8ZpuOpVaHEvxRGGu78=,NO,NO,Op+X3asn5H7EQJErI7PR0NkUs3YB+Ld/8OfWuiOC8tU=,GeerC2BbPUcQfQO86NmvOsKrfTvmW7HF+Iru9y+7DPA=,0.576561163387511,0.0731394354148845,0.481394354148845,0.115697177074423,0.487598306110103,YES,NO,NO,NO,NO,42,0.363130881094953,6,10,0.98759623609923,0,0.71,3306,4676,YES,NO,YES,0,0.375534644995723,0.479733817301875,bxU52teuxC05EZyzFihSiKHczE2ZAIVCXekVLG7j3C0=,NO,NO,+dia7tCOijlRGbABX0YKG5L85x/hXLyJwwplN5Qab04=,f4Uu1R9nnf/h03aqiRQT0Fw3WItzNToLCyRlW1Pn8Z8=,0.576561163387511,0.0731394354148845,0.481394354148845,0.115697177074423,0.47307924984876,YES,NO,NO,NO,NO,37,0.333618477331052,4,6,0.987168520102652,0,0.89,3306,4676,YES,NO,YES,1,0.3464499572284,0.464609800362976,0.576561163387511,0.0731394354148845,0.481394354148845,0.115697177074423,0.47307924984876,YES,NO,NO,NO,NO,42,0.363130881094953,5,6,0.98759623609923,0,0.81,3306,4676,YES,NO,YES,2,0.375534644995723,0.464609800362976
2,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,NO,NO,NO,NO,l0G2rvmLGE6mpPtAibFsoW/0SiNnAuyAc4k35TrHvoQ=,lblNNeOLanWhqgISofUngPYP0Ne1yQv3QeNHqCAoh48=,1.05837870538415,0.125831820931639,0.932546884452511,0.663036902601331,0.569046601111586,YES,NO,NO,NO,NO,9,0.709921355111918,5,6,0.968239564428312,0,0.81,4678,3306,YES,NO,YES,3,0.741681790683606,0.56028217186832,MZZbXga8gvaCBqWpzrh2iKdOkcsz/bG/z4BVjUnqWT0=,NO,NO,TqL9cs8ZFzALzVpZv6wYBDi+6zwhrdarQE/3FH+XAlA=,aZTF/lredyP4cukeN8bh6kpBjYmS1QFNpPOg2LVm3Lg=,1.05837870538415,0.125831820931639,0.932546884452511,0.663036902601331,0.62847370671227,YES,NO,NO,NO,NO,2,0.679370840895342,8,7,0.937386569872958,0,0.84,4678,3306,YES,NO,YES,1,0.741984271022384,0.619281744335186,YvZUuCDjLu9VvkCdBWgARWQrvm+FSXgxp0zIrMjcLBc=,NO,NO,dsyhxXKNNJy4WVGD/v4+UGyW3jHWkx2xTdg3STsf34A=,X6dDAI/DZOWvu0Dg6gCgRoNr2vTUz/mc4SdHTNUPS38=,1.05837870538415,0.125831820931639,0.932546884452511,0.663036902601331,0.60239418554938,NO,NO,NO,NO,NO,11,0.581367211131276,3,6,0.966122202056866,0,0.87,4678,3306,NO,NO,NO,3,0.61524500907441,0.593629756306114,1.05837870538415,0.125831820931639,0.932546884452511,0.663036902601331,0.60239418554938,YES,NO,NO,NO,NO,9,0.709921355111918,4,6,0.968239564428312,0,0.51,4678,3306,YES,NO,YES,4,0.741681790683606,0.593629756306114
3,NO,NO,ib4VpsEsqJHzDiyL0dZLQ+xQzDPrkxE+9T3mx5fv2wI=,X6dDAI/DZOWvu0Dg6gCgRoNr2vTUz/mc4SdHTNUPS38=,1.34180278281912,0.0514216575922565,0.93557168784029,0.0414398064125832,0.501710132535272,NO,NO,YES,NO,NO,2,0.838475499092559,3,5,0.966122202056866,0,0.74,4678,3306,NO,NO,NO,2,0.872353297035693,0.493159469858914,NO,NO,YES,YES,9TRXThP/ifDpJRGFX1LQseibUA1NJ3XM53gy+1eZ46k=,XSJ6E8aAoZC7/KAu3eETpfMg3mCq7HVBFIVIsoMKh9E=,1.34180278281912,0.0514216575922565,0.93557168784029,0.0414398064125832,0.447627191107311,YES,NO,NO,NO,YES,2,0.752268602540835,5,7,0.954930429522081,0,0.82,4678,3306,YES,NO,YES,2,0.797338173018754,0.438435228730227,cr+kkNnNFV9YL0vz029hk3ohIDmGuABRVNhFe0ePZyo=,NO,NO,oFsUwSLCWcj8UA1cqILh5afKVcvwlFA+ohJ147Wkz5I=,WV5vAHFyqkeuyFB5KVNGFOBuwjkUGKYc8wh9QfpVzAA=,1.34180278281912,0.0514216575922565,0.93557168784029,0.0414398064125832,0.522873022659256,YES,NO,NO,NO,NO,1,0.732304900181488,6,6,0.954930429522081,0,0.8,4678,3306,YES,NO,YES,0,0.777374470659407,0.513681060282172,X6dDAI/DZOWvu0Dg6gCgRoNr2vTUz/mc4SdHTNUPS38=,NO,NO,mRPnGiKVOWTk/vzZaqlLXZRtdrkcQ/sX0hqBCqOuKq0=,oo9tGpHvTredpg9JkHgYbZAuxcwtSpQxU5mA/zUbxY8=,1.34180278281912,0.0514216575922565,0.93557168784029,0.0414398064125832,0.501710132535272,NO,NO,NO,NO,NO,2,0.657289776164549,6,5,0.936479128856624,0,0.79,4678,3306,NO,NO,NO,0,0.720810647307925,0.493159469858914,1.34180278281912,0.0514216575922565,0.93557168784029,0.0414398064125832,0.501710132535272,NO,NO,YES,NO,NO,5,0.74258923169994,3,5,0.966122202056866,0,0.85,4678,3306,NO,NO,NO,1,0.776467029643073,0.493159469858914
4,YES,NO,BfrqME7vdLw3suQp6YAT16W2piNUmpKhMzuDrVrFQ4w=,YGCdISifn4fLao/ASKdZFhGIq23oqzfSbUVb6px1pig=,0.653911928174434,0.0414707139803335,0.940786660966225,0.0908507909362976,0.556563823351482,YES,NO,NO,NO,NO,37,0.127404873877726,8,15,0.959170585720393,0,0.96,3306,4678,YES,NO,YES,1,0.168234288157332,0.546581972171809,NO,NO,YES,NO,BfrqME7vdLw3suQp6YAT16W2piNUmpKhMzuDrVrFQ4w=,YGCdISifn4fLao/ASKdZFhGIq23oqzfSbUVb6px1pig=,0.653911928174434,0.0414707139803335,0.940786660966225,0.0908507909362976,0.556563823351482,YES,NO,NO,NO,NO,37,0.127404873877726,8,15,0.959170585720393,0,0.96,3306,4678,YES,NO,YES,1,0.168234288157332,0.546581972171809,XQG0f+jmjLI0UHAXXH2RYL4MEHa+yd9okO+730PCZuc=,YES,NO,/1yAAEg6Qib4GMD+wvGOlGmpCIPIAzioWtcCwbns9/I=,YGCdISifn4fLao/ASKdZFhGIq23oqzfSbUVb6px1pig=,0.653911928174434,0.0414707139803335,0.940786660966225,0.0908507909362976,0.557773744706594,YES,NO,NO,NO,NO,22,0.0677640017101325,8,15,0.959598118854211,0,0.93,3306,4678,YES,NO,YES,2,0.108165882855921,0.547791893526921,Vl+TDNSupucNoI+Fqeo7bMCkxg1hRjgTSS6NYb9BW00=,YES,NO,/1yAAEg6Qib4GMD+wvGOlGmpCIPIAzioWtcCwbns9/I=,YGCdISifn4fLao/ASKdZFhGIq23oqzfSbUVb6px1pig=,0.653911928174434,0.0414707139803335,0.940786660966225,0.0908507909362976,0.557773744706594,YES,NO,NO,NO,NO,22,0.0677640017101325,8,15,0.959598118854211,0,0.93,3306,4678,YES,NO,YES,2,0.108165882855921,0.547791893526921,0.653911928174434,0.0414707139803335,0.940786660966225,0.0908507909362976,0.557773744706594,YES,NO,NO,NO,NO,0,0.0677640017101325,17,15,0.927550466242215,0,0.945,3306,4678,NO,NO,YES,3,0.168234288157332,0.546581972171809
5,NO,NO,RTjsrrR8DTlJyaIP9Q3Z8s0zseqlVQTrlSe97GCWfbk=,3yK2OPj1uYDsoMgsxsjY1FxXkOllD8Xfh20VYGqT+nU=,1.41591928251121,0,1,0,0.375296912114014,NO,NO,YES,NO,NO,1,0.523542600896861,4,11,0.963004484304933,0,1,1263,892,NO,NO,NO,2,0.560538116591928,0.36104513064133,NO,NO,NO,NO,XEDyQD4da6aJkZiBf+r7LD2VdhLGnCMsSpuRFUyCZgg=,Co/nVSLofrWsM5qpcKLXfekegArokgN29XjEXttuXK4=,1.41591928251121,0,1,0,0.300079176563737,YES,NO,NO,NO,YES,6,0.167040358744395,3,3,0.971973094170404,0,1,1263,892,YES,NO,YES,1,0.195067264573991,0.285827395091053,wIHg6aGH2GMPX6l1pCTzeS1bXE4jxRqmd9ubES4HgW8=,NO,NO,ST8+q2Jgb91pWEwLwmSoJzXEGsQKeQGbzlLbgHPtj4w=,rB07AAHPffU4zFFF8IrqfKSltyWcPyy4+q+IM5SLZiQ=,1.41591928251121,0,1,0,0.400633412509897,NO,NO,NO,NO,NO,9,0.144618834080717,10,14,0.944506726457399,-0.5,1,1263,892,NO,NO,NO,1,0.221973094170404,0.386381631037213,WYQEP5EEzM+P+nfkHKLkGko/S3RdBgfEQ3IcyYwrChE=,NO,NO,fylJzYvYlM0+kRBeLB3eFKKgCibqxFvBa8hL+WStwCE=,IoM2E9pNxABFR+H3yfapUL+ThKm7GtTzY7js9H/H99o=,1.41591928251121,0,1,0,0.375296912114014,NO,NO,NO,NO,NO,1,0.0650224215246637,8,11,0.927130044843049,0,1,1263,892,NO,NO,NO,0,0.137892376681614,0.36104513064133,1.41591928251121,0,1,0,0.375296912114014,NO,NO,NO,NO,NO,9,0.146860986547085,11,11,0.900224215246637,0,1,1263,892,NO,NO,NO,1,0.246636771300448,0.36104513064133
6,NO,NO,cz26ErvsEb3tZqeaIlmLIwjn8D7YVXYynSLV1WltcUk=,olN1LoaeSyI8h+udI/jquozrw4R8YQ+cVwHq1dOUO5s=,1.41367713004484,0,1,0,0.667724028548771,NO,NO,NO,NO,NO,8,0.181614349775785,9,7,0.918161434977579,0,1,1261,892,NO,NO,NO,2,0.263452914798206,0.659000793021412,NO,NO,NO,NO,cz26ErvsEb3tZqeaIlmLIwjn8D7YVXYynSLV1WltcUk=,olN1LoaeSyI8h+udI/jquozrw4R8YQ+cVwHq1dOUO5s=,1.41367713004484,0,1,0,0.667724028548771,NO,NO,NO,NO,NO,8,0.181614349775785,9,7,0.918161434977579,0,1,1261,892,NO,NO,NO,2,0.263452914798206,0.659000793021412,PWQE+s/KVmMoNHCVmhyOF91yKUU2mNYDL3btueMBDdc=,NO,NO,cz26ErvsEb3tZqeaIlmLIwjn8D7YVXYynSLV1WltcUk=,olN1LoaeSyI8h+udI/jquozrw4R8YQ+cVwHq1dOUO5s=,1.41367713004484,0,1,0,0.667724028548771,NO,NO,NO,NO,NO,8,0.181614349775785,9,7,0.918161434977579,0,1,1261,892,NO,NO,NO,2,0.263452914798206,0.659000793021412,IWeABCIYP0/kDtdJ0DGtT8TrwGtZeUv891NnDwbh8wE=,YES,YES,XxFENDa0dtnW+Ik9a79Yj8mC/sr9lnO/v5cDqnFW/p8=,BWlzsfzvLpUVVqvMBbjZ4zlrnQb/agQ7zCXv27i3RUw=,1.41367713004484,0,1,0,0.667724028548771,YES,NO,NO,NO,YES,4,0.135650224215247,4,7,0.963004484304933,0,1,1261,892,YES,NO,YES,1,0.172645739910314,0.659000793021412,1.41367713004484,0,1,0,0.667724028548771,YES,NO,NO,NO,NO,0,0.135650224215247,14,7,0.881165919282511,0,1,1261,892,YES,NO,YES,2,0.263452914798206,0.659000793021412
7,NO,NO,m5L1gU5gqVRl202bsd4bnfsAkf7VyXSuHW1m02wGFBY=,X6dDAI/DZOWvu0Dg6gCgRoNr2vTUz/mc4SdHTNUPS38=,0.595553655408294,0.0273621205643437,0.940786660966225,0.0908507909362976,0.357531760435572,NO,NO,YES,NO,NO,31,0.210132535271484,3,14,0.97990594271056,0,0.8,3306,4678,NO,NO,NO,3,0.230226592560923,0.347549909255898,NO,NO,NO,NO,WDUtarnEIOA+cWAkQ5WWRQ/N8LulFMjwVJA7T1EbO6k=,X6dDAI/DZOWvu0Dg6gCgRoNr2vTUz/mc4SdHTNUPS38=,0.595553655408294,0.0273621205643437,0.940786660966225,0.0908507909362976,0.340290381125227,NO,NO,YES,NO,NO,11,0.181274048738777,3,15,0.981188542112014,0,0.96,3306,4678,NO,NO,NO,1,0.200085506626764,0.330611010284332,4OuR0qe9CY4jpQh0WpA/8I+Qf1GulSYtxlyxMizO6Fo=,NO,NO,rSWKD6AIszyQiT8IXXJ6LDNuTyXgMpmBYEVAcU8sdZs=,X6dDAI/DZOWvu0Dg6gCgRoNr2vTUz/mc4SdHTNUPS38=,0.595553655408294,0.0273621205643437,0.940786660966225,0.0908507909362976,0.374168179068361,NO,NO,NO,NO,NO,14,0.18063274903805,3,15,0.980547242411287,0,0.94,3306,4678,NO,NO,NO,3,0.200085506626764,0.364186327888687,ji0DAgHfXDpcTlSSqVzhtshR5W6dN2ba6ByjbI5L5dQ=,YES,NO,uoO1ZxC0shkkMmvAReQivj7WnGYPZUxciZbWeLOotlc=,YGCdISifn4fLao/ASKdZFhGIq23oqzfSbUVb6px1pig=,0.595553655408294,0.0273621205643437,0.940786660966225,0.0908507909362976,0.356019358741682,YES,NO,NO,NO,NO,31,0.126763574176999,8,14,0.958529286019666,0,0.9,3306,4678,YES,NO,YES,0,0.168234288157332,0.346037507562008,0.595553655408294,0.0273621205643437,0.940786660966225,0.0908507909362976,0.357531760435572,YES,NO,NO,NO,NO,14,0.18063274903805,3,14,0.980547242411287,0,0.8,3306,4678,YES,NO,YES,2,0.200085506626764,0.347549909255898
8,NO,NO,+DmbZpPes1kiIlEhrsEbhzCI6D7BbRkQKVA93qYRvAI=,ubHy/++3FVAS97znZOt7L+cjkZFJREIiJPRZEfRIztc=,0.325780247969218,0.0752458315519453,0.219752030782386,0.264429243266353,0.409555288461538,NO,NO,YES,NO,NO,1,0.167592988456605,3,5,0.985036340316375,0,0.89,3328,4678,NO,NO,NO,0,0.182556648140231,0.397836538461538,NO,NO,NO,NO,+DmbZpPes1kiIlEhrsEbhzCI6D7BbRkQKVA93qYRvAI=,ubHy/++3FVAS97znZOt7L+cjkZFJREIiJPRZEfRIztc=,0.325780247969218,0.0752458315519453,0.219752030782386,0.264429243266353,0.409555288461538,NO,NO,YES,NO,NO,1,0.167592988456605,3,5,0.985036340316375,0,0.89,3328,4678,NO,NO,NO,0,0.182556648140231,0.397836538461538,qO93RV2BbAPgxSSWp29dtmK80FULEXP5EpIHvlx5TcM=,NO,NO,EAg3fPuPCbriA2kSvWJx3HJTS8vNDkS5WTNMlGbMqDk=,FExKgjj6CsbToTubdZ+kGsOmUx3gCvZVJCdZPcdPNF4=,0.325780247969218,0.0752458315519453,0.219752030782386,0.264429243266353,0.411358173076923,NO,NO,YES,NO,NO,2,0.108165882855921,5,5,0.973065412569474,0,0.87,3328,4678,NO,NO,NO,0,0.135100470286447,0.398737980769231,7NvhTYX+JW41YZl/PiZP0zFSP9L7ppdvMCQG01OEr80=,NO,NO,EAg3fPuPCbriA2kSvWJx3HJTS8vNDkS5WTNMlGbMqDk=,FExKgjj6CsbToTubdZ+kGsOmUx3gCvZVJCdZPcdPNF4=,0.325780247969218,0.0752458315519453,0.219752030782386,0.264429243266353,0.411358173076923,NO,NO,YES,NO,NO,2,0.108165882855921,5,5,0.973065412569474,0,0.87,3328,4678,NO,NO,NO,0,0.135100470286447,0.398737980769231,0.325780247969218,0.0752458315519453,0.219752030782386,0.264429243266353,0.411358173076923,NO,NO,YES,NO,NO,0,0.108165882855921,13,5,0.943461118236663,0.333333333333333,0.88,3328,4678,NO,NO,NO,2,0.182556648140231,0.397836538461538
9,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,NO,NO,NO,NO,ib4VpsEsqJHzDiyL0dZLQ+xQzDPrkxE+9T3mx5fv2wI=,X6dDAI/DZOWvu0Dg6gCgRoNr2vTUz/mc4SdHTNUPS38=,1.26089588377724,0.062953995157385,0.934624697336562,0.0659806295399516,0.40192513368984,NO,NO,YES,NO,NO,2,0.857142857142857,3,5,0.970641646489104,0,0.94,4675,3304,NO,NO,NO,0,0.886501210653753,0.394224598930481,DZjyMV7X8bKmLv6sxaFRHtLB2tz4DHTtuOVIPy4Q8Fo=,NO,NO,ypadT+8cJc7iVikf8H8w+gbhFqIUHdxTb4ywwlERuVI=,BWlzsfzvLpUVVqvMBbjZ4zlrnQb/agQ7zCXv27i3RUw=,1.26089588377724,0.062953995157385,0.934624697336562,0.0659806295399516,0.752299465240642,YES,NO,NO,NO,YES,1,0.889830508474576,4,7,0.966404358353511,0,0.49,4675,3304,YES,NO,YES,1,0.923426150121065,0.744812834224599,WV5vAHFyqkeuyFB5KVNGFOBuwjkUGKYc8wh9QfpVzAA=,NO,NO,WmRPBSBmxN/kDx/gEBEfWm1M3xmsoaRpIvIRhpEcU7I=,X6dDAI/DZOWvu0Dg6gCgRoNr2vTUz/mc4SdHTNUPS38=,1.26089588377724,0.062953995157385,0.934624697336562,0.0659806295399516,0.70951871657754,NO,NO,NO,NO,NO,4,0.849273607748184,3,10,0.972154963680387,0,0.78,4675,3304,NO,NO,NO,0,0.877118644067797,0.702032085561497,1.26089588377724,0.062953995157385,0.934624697336562,0.0659806295399516,0.70951871657754,YES,NO,NO,NO,NO,2,0.883777239709443,6,10,0.960351089588378,0,0.82,4675,3304,YES,NO,YES,1,0.923426150121065,0.702032085561497
10,NO,NO,IMXZ1f/AIvj3ay/f2XKKw9FlTUhBlhvvD8vyj172WKQ=,vOPAlFJxrZoxaQht2ylUA2U0jUyFGxJF7iy/SNua2+U=,1.17487163998792,0.65659921473875,0.785563273935367,1.16037450921172,0.830483112441214,YES,NO,NO,NO,NO,1,0.707943219571127,5,5,0.973723950468137,0,0.79,4678,3311,YES,NO,YES,3,0.73421926910299,0.822787516032493,NO,NO,NO,NO,3AmXF7pJjwdS3DF2EKtDfdKwvJpI1Ktop05jAcYvqHU=,YNHVFZzYI7H/ZHSLibIUqL9s9zmR4V7GE/RvCqeNA8Q=,1.17487163998792,0.65659921473875,0.785563273935367,1.16037450921172,0.829200513039761,YES,NO,NO,NO,NO,2,0.684989429175476,3,5,0.980972515856237,0,0.82,4678,3311,YES,NO,YES,2,0.704016913319239,0.822573749465584,wVp44rsTzFq64YSdsaEcjHUR9BSKU9Z64DYbPWgUFgA=,NO,NO,IMXZ1f/AIvj3ay/f2XKKw9FlTUhBlhvvD8vyj172WKQ=,vOPAlFJxrZoxaQht2ylUA2U0jUyFGxJF7iy/SNua2+U=,1.17487163998792,0.65659921473875,0.785563273935367,1.16037450921172,0.830483112441214,YES,NO,NO,NO,NO,1,0.707943219571127,5,5,0.973723950468137,0,0.79,4678,3311,YES,NO,YES,3,0.73421926910299,0.822787516032493,4+8KW9/Rt/diiEG2tp9s6iuDgOKBV0gXRTyKl+WsxBo=,NO,NO,3AmXF7pJjwdS3DF2EKtDfdKwvJpI1Ktop05jAcYvqHU=,YNHVFZzYI7H/ZHSLibIUqL9s9zmR4V7GE/RvCqeNA8Q=,1.17487163998792,0.65659921473875,0.785563273935367,1.16037450921172,0.829200513039761,YES,NO,NO,NO,NO,2,0.684989429175476,3,5,0.980972515856237,0,0.82,4678,3311,YES,NO,YES,2,0.704016913319239,0.822573749465584,1.17487163998792,0.65659921473875,0.785563273935367,1.16037450921172,0.830483112441214,YES,NO,YES,NO,YES,0,0.684989429175476,9,5,0.958492167794493,0,0.805,4678,3311,YES,NO,YES,5,0.73421926910299,0.822573749465584
